STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
1,Alabama,10635,2,1,3AKJGLBG*GS******,2021-09-08 14:07:05,0,3,TRUCK,1024,DAIMLER TRUCKS NORTH AMERICA LLC,450,FREIGHTLINER,2501,Cascadia,2016,,"125"" sleepercab",12,MEXICO,COAHUILA,SALTILLO,,,66,Truck-Tractor,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,0,Not Applicable,0,Not Applicable,,,,,
2,Alaska,20065,1,1,1A9PA482*4D503***,2021-09-08 14:07:05,0,6,TRAILER,17223,CRYOGENIC INDUSTRIAL SOLUTIONS LLC,7781,ALLOY CUSTOM PRODUCTS,20846,Alloy Custom Products,2004,,,6,UNITED STATES (USA),,DELPHI,,,61,Trailer,,,,,15,Tank Trailer,,,48.000,Cryogenic Trailer,2,,
4,Arizona,40014,2,1,1PMA2442*E5******,2021-09-08 14:07:05,0,6,TRAILER,6179,"POLAR TANK TRAILER, LLC",2921,POLAR TANK TRAILER,6874,Polar Tank Trailer,2014,,,6,UNITED STATES (USA),MISSOURI,SPRINGFIELD,,,61,Trailer,,,,,15,Tank Trailer,30,Other,44.000,Vessel Code: DOT 406,2,,
4,Arizona,40028,1,1,558MEBM2*FB******,2021-09-08 14:07:06,0,6,TRAILER,7785,MAC LTT INC.,2552,MAC,6384,MAC,2015,,,6,UNITED STATES (USA),MONTANA,BILLINGS,,Connection Type: Straight-Semi with Fifth Wheel & Kingpin,61,Trailer,,,,,101,Other,4,Straight Semi/Semi Trailer,42.000,Trailer Type = Dot-406 / Hazardous Liquids,2,,
4,Arizona,40098,2,1,1GRAA062*8D******,2021-09-08 14:07:06,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2008,,,6,UNITED STATES (USA),PENNSYLVANIA,DANVILLE,,Effective 12/01/01,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
4,Arizona,40143,2,1,49THB162*11******,2021-09-08 14:07:06,0,6,TRAILER,3943,"CONTRACT MANUFACTURER, LLC",1871,CONTRACT MANUFACTURER,5360,CONTRACT MANUFACTURER,2001,,,6,UNITED STATES (USA),OKLAHOMA,MADILL,,,61,Trailer,,,,,14,Horse Trailer,14,Bumper Pull,16.000,,2,,
4,Arizona,40147,2,1,1KKVE532*6L******,2021-09-08 14:07:06,0,6,TRAILER,2340,KENTUCKY MANUFACTURING CO.,2048,KENTUCKY MANUFACTURING CO./ KENTUCKY TRAILER/ KENTUCKY TRAILER TECH,5803,Kentucky Manufacturing Co./ Kentucky Trailer/ Kentucky Trailer Tech,2006,,,6,UNITED STATES (USA),KENTUCKY,LOUISVILLE,Kentucky Manufacturing Co.,,,,,,,,36,Van Trailer,,,53.000,Body Type - Electronics,2,,
4,Arizona,40155,1,1,1T9AA152*E1030***,2021-09-08 14:07:06,0,6,TRAILER,16339,TUFF BOY SALES INC,6231,TUFF BOY SALES,17296,Tuff Boy Sales,2014,,,6,UNITED STATES (USA),CALIFORNIA,MANTECA,,,,,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,28.000,Tire & Rim Combination: Other,2,,
4,Arizona,40155,1,2,1T9AA151*E1030***,2021-09-08 14:07:06,0,6,TRAILER,16339,TUFF BOY SALES INC,6231,TUFF BOY SALES,17296,Tuff Boy Sales,2014,,,6,UNITED STATES (USA),CALIFORNIA,MANTECA,,,,,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,28.000,Tire & Rim Combination: Other,1,,
4,Arizona,40164,7,1,13SAH142*41******,2021-09-08 14:07:06,1,6,TRAILER,3005,"SUNDOWNER TRAILERS, INC.",10097,SUNDOWNER,26078,Sunlite,2004,720 GN,,6,UNITED STATES (USA),OKLAHOMA,COLEMAN,,,61,Trailer,,,,,,,3,Gooseneck,14.000,,2,,
